28.0 19134 309784 558 38796
28.0 38477 618121 1114 79346
28.0 56914 927364 1672 117075
28.0 71727 1240230 1672 151776
28.0 86450 1553187 1672 186666
28.0 112791 1854526 3196 230064
28.0 132472 2162525 3836 268338
28.0 147215 2475462 3836 303404
28.0 161930 2788427 3836 337969
28.0 178412 3099627 3836 372535
28.0 197955 3407824 4337 410042
28.0 256199 3677257 7773 462690
28.0 272277 3988859 7956 502901
28.0 287050 4301766 7956 537470
28.0 301803 4614693 7956 572038
28.0 316566 4927610 7956 606604
28.0 331319 5240537 7956 641170
28.0 346072 5553464 7956 675737
28.0 360837 5866379 7956 710304
28.0 375590 6179306 7956 744872
28.0 390343 6492233 7956 779439
28.0 405110 6805146 7956 814005
28.0 419863 7118073 7956 848570
28.0 434616 7431000 7956 883137
