36.0 35939 292981 550 38517
36.0 70410 586190 1095 77005
36.0 101935 882345 1648 115305
36.0 134265 1177694 1648 149870
36.0 166576 1473063 1648 184437
36.0 202931 1764389 2288 224466
36.0 264523 2030477 3336 263067
36.0 297297 2325383 3427 298613
36.0 329004 2621355 3427 333182
36.0 362199 2915843 3427 367746
36.0 395729 3209992 3427 402664
36.0 430655 3502746 3849 450997
36.0 482490 3778592 10151 505091
36.0 535691 4053068 17051 555577
36.0 567124 4349315 17051 599504
36.0 599498 4644621 17051 634071
