8.0 30664 297032 4737 4452
2.0 26520 301154 3170 4348
6.0 29936 297738 4750 4227
4.0 22190 305494 1573 4267
1.0 32323 295658 4314 5617
7.0 30727 296969 4719 4492
9.0 30752 296908 4726 4552
5.0 30694 296954 5080 5964
3.0 26513 301169 3149 4559
8.0 52411 602936 6314 7198
2.0 48910 606371 4755 6992
6.0 46942 608375 4750 7292
4.0 47772 607521 4424 8194
1.0 55484 600160 5585 9758
7.0 48018 607320 4719 7228
9.0 48274 606994 4726 7563
5.0 57007 598244 8246 8639
3.0 48869 606417 4738 7141
8.0 74112 908867 7892 10897
2.0 70822 912063 6332 10171
6.0 68283 914660 6331 10980
4.0 72254 910648 6646 12080
1.0 86632 896681 9800 14019
7.0 70593 912400 6298 10882
9.0 75022 907867 8310 13017
5.0 74390 908463 8246 12296
3.0 74102 908790 7740 12160
8.0 103950 1206698 12209 14846
2.0 90742 1219814 6363 12853
6.0 85921 1224695 6331 14058
4.0 94951 1215631 8069 16441
1.0 113863 1197063 12869 18306
7.0 93416 1217257 7877 13542
5.0 96948 1213522 9820 15389
9.0 98715 1213093 9900 15932
3.0 93218 1217345 7740 14984
8.0 127122 1511203 13780 17955
2.0 114582 1523642 7942 15734
6.0 108286 1530009 7913 17318
4.0 114473 1523787 8069 19167
1.0 138465 1500131 14582 21432
7.0 120476 1517874 11381 18482
9.0 117154 1521031 9900 18958
5.0 120869 1517277 11396 18337
3.0 116239 1521946 9315 18329
8.0 149952 1816047 15354 21448
2.0 132947 1832885 7942 19064
6.0 134199 1831747 11319 22405
4.0 141446 1824445 11224 22422
1.0 161778 1804423 16319 26286
7.0 142127 1823863 12955 21808
9.0 139782 1826015 11473 22419
5.0 147489 1818282 14556 21581
3.0 139929 1825925 10904 21337
