38.0 32108 296809 553 36737
38.0 64735 591862 1299 75043
38.0 97291 886986 1665 111975
38.0 128328 1183629 1665 146540
38.0 159393 1480244 1665 181106
38.0 211183 1756134 2720 219960
38.0 258602 2036395 2857 256783
38.0 289333 2333343 2857 291527
38.0 321420 2628939 2857 326093
38.0 353738 2924301 2857 360659
38.0 386020 3219699 2857 395402
38.0 441781 3491615 8784 441106
38.0 493345 3767734 15229 481199
38.0 546315 4042444 22190 521538
38.0 599285 4317154 29151 561877
38.0 652268 4591851 36112 602216
38.0 705241 4866558 43073 642554
38.0 758214 5141265 50034 682893
38.0 811196 5415963 56995 723231
38.0 864169 5690670 63956 763571
38.0 917142 5965377 70917 803907
38.0 970130 6240069 77878 844245
38.0 1003577 6534299 78574 879386
38.0 1034707 6830849 78574 913955
