29.0 31583 297337 552 36468
29.0 66195 590405 1102 74169
29.0 99013 885267 1467 110615
29.0 117394 1194564 1651 145306
29.0 134002 1505635 1651 179874
29.0 168614 1798706 1929 215656
29.0 239071 2055929 2340 254215
29.0 270780 2351899 2340 288784
29.0 303062 2647300 2340 323350
29.0 336601 2941440 2340 357917
29.0 370140 3235581 2340 392486
29.0 418476 3514926 6477 432860
29.0 472249 3788833 13377 473106
29.0 511255 4077504 15449 509379
29.0 543652 4372787 15449 543945
29.0 576026 4668093 15449 578513
