24.0 18035 310883 554 37718
24.0 36191 620407 1107 76205
24.0 53976 930302 1663 112628
24.0 68683 1243274 1663 147196
24.0 83375 1556262 1663 181765
24.0 109543 1857774 1936 221873
24.0 131990 2163007 2854 259012
24.0 146723 2475954 2854 293578
24.0 162187 2788172 2854 328144
24.0 178185 3099854 2854 362710
24.0 194939 3410780 2946 398932
24.0 221603 3711768 4466 441033
24.0 247585 4013491 6349 490505
24.0 262369 4326387 6349 525073
24.0 277122 4639314 6349 559638
24.0 291885 4952231 6349 594203
24.0 306638 5265158 6349 628769
24.0 321391 5578085 6349 663335
24.0 336156 5891000 6349 697900
24.0 350909 6203927 6349 732466
24.0 365660 6516856 6349 767034
24.0 380425 6829771 6349 801601
24.0 395176 7142700 6349 836168
24.0 409927 7455629 6349 870735
