30.0 33441 295476 369 36863
30.0 66112 656019 743 74716
30.0 98497 951316 1298 111587
30.0 129533 1247960 1298 146154
30.0 160563 1544610 1298 180720
30.0 204063 1828790 1663 219026
30.0 270250 2090283 2714 256356
30.0 300991 2387221 2714 291100
30.0 332690 2683205 2714 325665
30.0 365010 2978565 2714 360232
30.0 397266 3273989 2714 395598
30.0 434954 3563979 3495 442609
30.0 464990 3861622 3495 492052
30.0 495111 4159181 3495 536838
30.0 525241 4456731 3495 581625
30.0 555380 4754272 3495 626412
30.0 585509 5051823 3495 671201
30.0 615639 5349373 3495 715989
30.0 645780 5646912 3495 760777
30.0 675907 5944465 3495 805563
30.0 706033 6242019 3495 850350
30.0 736176 6539556 3495 895138
30.0 767172 6836240 3495 930726
30.0 798262 7132830 3495 965293
