36.0 632750 4939052 17051 673375
36.0 670719 5228760 18916 711737
36.0 703131 5524028 18916 746304
36.0 747137 5807702 22149 793025
36.0 779537 6102982 22149 827591
36.0 811704 6398495 22149 864602
36.0 857070 6680809 25623 907611
36.0 889006 6976535 25623 947946
36.0 921429 7271810 25623 984090
36.0 961772 7559150 27323 1025281
36.0 994984 7853617 27323 1064827
36.0 1033516 8142763 29170 1103204
36.0 1072115 8431847 31017 1149090
36.0 1110793 8720846 32859 1187635
36.0 1143241 9016078 32859 1222203
