15.0 18554 310364 552 37770
15.0 37422 619176 1286 75727
15.0 57864 926414 1468 113613
15.0 72570 1239387 1468 148184
15.0 87306 1552331 1468 182754
15.0 137360 1829992 2523 223486
15.0 205109 2089926 3396 264926
15.0 220660 2402055 3583 300111
15.0 235396 2714999 3583 334680
15.0 251962 3026115 3583 369249
15.0 268014 3337743 3583 404233
15.0 284758 3648676 3902 442590
15.0 315099 3946015 6364 490915
15.0 329884 4258910 6364 525483
15.0 344637 4571837 6364 560050
15.0 359400 4884754 6364 594619
15.0 374153 5197681 6364 629187
15.0 388906 5510608 6364 663756
15.0 403671 5823523 6364 698324
15.0 418424 6136450 6364 732892
15.0 433175 6449379 6364 767461
15.0 447939 6762295 6364 802029
15.0 462690 7075224 6364 836597
15.0 477440 7388154 6364 871165
