10 1 1.02
10 12 1.05
5 4 1
5 6 1
12 10 1
12 9 1
11 2 1.05
11 7 1.07
3 9 1
3 8 1
8 6 1
8 3 1.1
9 3 1
9 12 1.25
6 5 1
6 8 1
1 10 1.02
1 2 1.02
7 4 1
7 11 1
4 5 1
4 7 1
2 1 1
2 11 1
